role,name,key,team
Allrounder,Dwayne Bravo,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5NQw,team_chennai
Allrounder,Faf du Plessis,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5Ngw,team_chennai
Bowler,Ben Hilfenhaus,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5Nww,team_chennai
Middle-order batsman,Michael Hussey,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5OAw,team_chennai
Allrounder,Ravindra Jadeja,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5OQw,team_chennai
Bowler,Shadab Jakati,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwMAw,team_chennai
Allrounder,Joginder Sharma,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwMQw,team_chennai
Bowler,Suraj Randiv,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwMgw,team_chennai
Bowler,Nuwan Kulasekara,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwMww,team_chennai
Allrounder,Yo Mahesh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwNAw,team_chennai
Allrounder,Albie Morkel,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwNQw,team_chennai
Top-order batsman,Abhinav Mukund,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwNgw,team_chennai
Batsman,Suresh Raina,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwNww,team_chennai
Wicketkeeper,Wriddhiman Saha,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwOAw,team_chennai
Allrounder,Scott Styris,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIwOQw,team_chennai
Bowler,Sudeep Tyagi,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIxMAw,team_chennai
Batsman,Kuthethurshri Vasudevadas,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzIxMQw,team_chennai
